"","name","player_id","year","pa","avg","obp","slg","ops","iso","woba","home_run","k_pct+","bb_pct+","xba+","xslg+","xwoba+","xwobacon+","barrel_rate+","hard_hit_pct+","z_sw_miss_pct+","oz_sw_pct+","oz_sw_miss_pct+","hr_rate+","probC1","probC2","probC3","probC4","probC5","probC6","probC7","probC8","Cluster","maxProb","PlayerYear"
"713","Valencia, Danny",502143,2016,517,0.287,0.346,0.446,0.792,0.159,0.342,17,109.01,94.22,109.44,112.39,108.32,112.38,118.82,115.88,100.12,102.18,134.22,103.43,0.898,0.001,0.012,0.001,0,0.014,0.012,0.062,1,0.898,"Danny Valencia 2016"
"714","Valencia, Danny",502143,2017,500,0.256,0.314,0.411,0.725,0.155,0.311,15,116.9,91.29,95.31,89.36,92.67,95.93,85.34,108.73,117.64,96.83,132.9,87.04,0.086,0.549,0.084,0,0.001,0.019,0,0.261,2,0.549,"Danny Valencia 2017"
"715","Valencia, Danny",502143,2018,282,0.263,0.316,0.408,0.724,0.145,0.31,9,87.71,89.78,113.73,111.69,108.2,107.87,108.38,112.07,77.77,96.28,116.42,101.78,0.642,0,0.089,0,0,0,0.187,0.081,1,0.642,"Danny Valencia 2018"
"716","Swanson, Dansby",621020,2017,551,0.232,0.312,0.324,0.636,0.092,0.276,6,104.45,122.1,96.1,80.45,90.82,89.57,44.92,94.23,100.49,90.28,102.29,31.59,0.002,0.439,0.273,0,0.094,0,0.001,0.191,2,0.439,"Dansby Swanson 2017"
"717","Swanson, Dansby",621020,2018,533,0.238,0.304,0.395,0.699,0.157,0.293,14,106.84,95.53,93.5,88.53,87.88,91.5,57.71,92.94,101.52,111.73,104.71,83.77,0.011,0.539,0.353,0,0.028,0,0,0.068,2,0.539,"Dansby Swanson 2018"
"718","Swanson, Dansby",621020,2019,545,0.251,0.325,0.422,0.747,0.171,0.317,17,103.6,107.71,107.58,109.32,107.25,108.93,129.23,110.32,120.71,85.41,108.58,82.17,0.65,0.002,0.029,0.001,0,0.011,0.039,0.269,1,0.65,"Dansby Swanson 2019"
"719","Swanson, Dansby",621020,2021,653,0.248,0.311,0.449,0.76,0.201,0.322,27,114.67,90.09,101.19,108.49,102.52,109.46,135.09,107.43,136.81,87.17,111.88,121.2,0.728,0.007,0.013,0,0,0.076,0.004,0.171,1,0.728,"Dansby Swanson 2021"
"720","Swanson, Dansby",621020,2022,696,0.277,0.329,0.447,0.776,0.17,0.337,25,118.16,85.56,106.23,117.27,108.23,118.07,137.58,119.05,137.01,90.12,118.08,122.98,0.887,0,0.002,0.006,0,0.068,0.003,0.034,1,0.887,"Dansby Swanson 2022"
"721","Swanson, Dansby",621020,2023,638,0.244,0.328,0.416,0.744,0.172,0.325,22,107.38,119.22,102.11,109.7,106.92,108.76,128.97,99.31,135.48,82.28,100.6,106.13,0.528,0.004,0.019,0.001,0,0.028,0.02,0.401,1,0.528,"Dansby Swanson 2023"
"722","Ruf, Darin",573131,2015,297,0.235,0.3,0.414,0.714,0.179,0.311,12,118.28,90.39,99.83,109.48,104.14,108.49,139.42,122.62,116.98,98.51,126.51,145.32,0.826,0.002,0.004,0.001,0,0.107,0.002,0.058,1,0.826,"Darin Ruf 2015"
"723","Ruf, Darin",573131,2021,312,0.271,0.385,0.519,0.904,0.248,0.384,16,124.97,165.54,105.62,122.8,117.65,127.83,168.26,137.12,91.95,71.62,111.88,150.32,0.072,0,0,0.905,0,0.012,0.004,0.007,4,0.905,"Darin Ruf 2021"
"724","Ruf, Darin",573131,2022,388,0.204,0.307,0.338,0.645,0.134,0.291,11,122.69,141.79,90.53,94.38,99.56,100.77,109.55,104.14,111.68,82.27,110.24,97.07,0.073,0.076,0.019,0,0,0.035,0.001,0.796,8,0.796,"Darin Ruf 2022"
"725","Barney, Darwin",446381,2016,306,0.269,0.322,0.373,0.695,0.104,0.303,4,77.09,85.88,97.58,80.04,88.71,82,25.9,67.1,88.71,94.19,77.45,41.12,0,0.028,0.205,0,0.764,0,0,0.003,5,0.764,"Darwin Barney 2016"
"726","Barney, Darwin",446381,2017,362,0.232,0.275,0.327,0.602,0.095,0.263,6,84.8,57.06,89.79,69.42,77.58,73.94,5.99,35.37,69.75,121.22,75,48.09,0,0.012,0.019,0,0.969,0,0,0,5,0.969,"Darwin Barney 2017"
"727","Varsho, Daulton",662139,2021,315,0.246,0.318,0.437,0.755,0.191,0.322,11,95.41,106.98,99.98,102.53,99.74,98.96,86.5,100.39,101.49,110.32,92.85,102.36,0.255,0.035,0.475,0,0.004,0.001,0.024,0.206,3,0.475,"Daulton Varsho 2021"
"728","Varsho, Daulton",662139,2022,592,0.235,0.302,0.443,0.745,0.208,0.323,27,110.92,95.34,88.05,98.96,95.7,97.47,129.94,91.54,118.59,104.11,86.72,156.15,0.334,0.19,0.174,0,0.001,0.016,0.002,0.282,1,0.334,"Daulton Varsho 2022"
"729","Varsho, Daulton",662139,2023,581,0.22,0.285,0.389,0.674,0.169,0.293,20,103.37,89.13,92.9,94.37,93.6,94.02,86.37,90.3,97.02,97.97,103.6,105.94,0.055,0.301,0.408,0,0.014,0.001,0.002,0.219,3,0.408,"Daulton Varsho 2023"
"730","Bote, David",623520,2018,210,0.239,0.319,0.408,0.727,0.169,0.314,6,133.43,103.59,99.57,107.79,108.2,120.74,154.83,145.42,138.33,107.06,132.78,91.12,0.526,0,0,0.005,0,0.453,0,0.015,1,0.526,"David Bote 2018"
"731","Bote, David",623520,2019,356,0.257,0.362,0.422,0.784,0.165,0.336,11,118.59,142.08,94.88,85.48,96.83,96.45,72.93,96.27,142.87,99.93,115.56,81.4,0.039,0.423,0.046,0,0.001,0.017,0,0.474,8,0.474,"David Bote 2019"
"732","Bote, David",623520,2021,327,0.199,0.276,0.33,0.606,0.131,0.268,8,99.89,93.47,91.11,93.71,95.11,92.92,117.31,109.95,91.95,100.2,104.69,71.71,0.094,0.236,0.363,0,0.008,0.002,0.003,0.295,3,0.363,"David Bote 2021"
"733","Dahl, David",621311,2016,237,0.315,0.359,0.5,0.859,0.185,0.367,7,122.27,75.14,96.4,92.74,92.14,98.67,74.64,91.63,142.57,117.13,123.5,92.9,0.079,0.745,0.104,0,0.001,0.01,0,0.062,2,0.745,"David Dahl 2016"
"734","Dahl, David",621311,2018,271,0.273,0.325,0.534,0.859,0.261,0.357,16,117.1,80.57,102.8,109.5,100.38,109.47,130.9,106.06,135.95,129.69,110.81,188.29,0.951,0.002,0.007,0,0,0.03,0.001,0.009,1,0.951,"David Dahl 2018"
