name,,year,pa,avg,obp,slg,ops,iso,woba,k_pct+,bb_pct+,xba+,xslg+,xwoba+,xwobacon+,barrel_rate+,hard_hit_pct+,z_sw_miss_pct+,oz_sw_pct+,oz_sw_miss_pct+,hr_rate+,probC1,probC2,probC3,probC4,probC5,probC6,probC7,PC1,PC2,PC3,Cluster,maxProb
"Arraez, Luis",Luis Arraez,2021,479,0.294,0.357,0.376,0.733,0.082,0.321,44.79,101.35,118.93,98,104.06,88.98,27.25,76.99,38.13,83.56,49.91,12.24,0.02,0.005,0.82,0,0,0.149,0.006,-2.723251259,3.68701047,-1.057981881,3,0.82
"Brantley Jr., Michael",Michael Brantley Jr.,2015,596,0.31,0.379,0.48,0.859,0.17,0.368,43.85,128.58,116.2,105.99,109.52,94.48,68.83,105.43,31.24,75.33,52.42,90.52,0.02,0.007,0.816,0,0,0.092,0.065,-0.784553069,3.997341758,-1.481196759,3,0.816
"Kwan, Steven",Steven Kwan,2023,718,0.268,0.34,0.37,0.71,0.102,0.313,46.34,112.28,112.92,85.75,98.24,81.9,13.02,47.03,34.44,74.26,62.07,21.43,0.069,0.002,0.808,0,0,0.119,0.002,-3.769246075,2.7901447,-1.837024906,3,0.808
"Markakis, Nick",Nick Markakis,2018,705,0.297,0.366,0.44,0.806,0.143,0.345,52.72,117.4,118.59,103.65,107.89,95.25,43.63,113.71,43.93,71.85,57.85,63.33,0.027,0.01,0.798,0,0,0.115,0.05,-0.905738286,3.650551666,-1.395161568,3,0.798
"Span, Denard",Denard Span,2015,275,0.301,0.365,0.431,0.796,0.13,0.348,48.44,115.85,124.58,106.99,113.95,99.97,47.65,95.24,45.2,86.92,54.03,65.4,0.011,0.012,0.785,0,0,0.135,0.057,-0.866435024,4.236102688,-0.831325927,3,0.785
"Pedroia, Dustin",Dustin Pedroia,2017,463,0.293,0.369,0.392,0.761,0.099,0.331,49.83,120.96,109.88,87.48,99.44,84.01,16.47,61.18,47.88,79.72,51.53,43.87,0.073,0.003,0.783,0,0,0.138,0.003,-3.19915212,2.704299982,-1.679178954,3,0.783
"Sanó, Miguel",Miguel Sanó,2015,335,0.269,0.385,0.53,0.915,0.261,0.392,181,201.15,97.03,134.17,122.18,157.38,360.03,159.9,181.46,80.78,189.37,193.26,0.001,0.008,0,0.976,0.001,0,0.014,9.197951107,-2.713104977,-0.996837597,4,0.976
"Gallo, Joey",Joey Gallo,2019,297,0.253,0.389,0.598,0.987,0.345,0.401,174.48,200.52,88.53,137.73,121.04,165.35,337.78,140.82,188.94,70.89,158.9,195.13,0.003,0.008,0,0.97,0.001,0,0.018,8.646588205,-2.552392988,-1.427413794,4,0.97
"Gallo, Joey",Joey Gallo,2017,532,0.209,0.333,0.537,0.87,0.328,0.364,176.31,160.9,87.43,130.64,116.07,150.26,330.9,151.35,196.26,103.02,159.43,223.6,0.002,0.034,0,0.951,0.008,0,0.004,7.986108299,-3.027409575,0.370236308,4,0.951
"Carter, Chris",Chris Carter,2015,459,0.199,0.307,0.427,0.734,0.228,0.319,167.74,157.86,81.06,110.48,104.77,122.22,273.55,136.6,199.41,83.17,148.71,188.06,0.014,0.011,0,0.943,0.031,0.001,0.001,5.395926376,-3.716183776,-0.768465006,4,0.943
"Gallo, Joey",Joey Gallo,2023,332,0.177,0.301,0.44,0.741,0.263,0.32,190.69,167.84,59.66,95.57,91.43,119.56,228.36,132.33,196.9,90.3,157.36,194.67,0.007,0.001,0,0.932,0.06,0,0,4.294410943,-5.851662687,-1.029627492,4,0.932
"Avila, Alex",Alex Avila,2019,201,0.207,0.353,0.421,0.774,0.214,0.323,153.58,205.1,91.3,114.36,110.31,132.85,240.54,129.95,166.2,45.64,184.9,117.95,0.058,0.003,0,0.929,0.005,0,0.005,5.608982222,-2.909984447,-3.041416779,4,0.929
"Gallo, Joey",Joey Gallo,2021,616,0.199,0.351,0.458,0.809,0.259,0.348,154.98,202.7,80.22,109.69,108.69,126.25,219.22,115.23,171.57,68.73,148.79,180.82,0.074,0.006,0,0.9,0.016,0.001,0.003,4.798188553,-3.047893988,-2.324250924,4,0.9
"Avila, Alex",Alex Avila,2015,219,0.191,0.339,0.287,0.626,0.096,0.294,153.46,232.97,93.84,106.74,113.32,124.42,187.08,141.84,176.81,51.81,193.65,65.69,0.098,0.001,0,0.891,0.005,0,0.003,5.070994199,-3.060431255,-3.548473342,4,0.891
"Sanó, Miguel",Miguel Sanó,2016,495,0.236,0.319,0.462,0.781,0.226,0.334,176.77,130.01,84.94,107.84,102.1,129.05,214.78,138.71,155.88,78.9,165.88,158.86,0.026,0.022,0,0.888,0.061,0.002,0.001,4.681169818,-3.500415514,-0.567636443,4,0.888
"Gallo, Joey",Joey Gallo,2022,410,0.16,0.28,0.357,0.637,0.197,0.286,180.18,167.46,69.03,94.38,94.42,116.69,224.21,129.85,179.61,93.87,146.6,158.66,0.026,0.004,0,0.875,0.095,0.001,0,3.73049161,-4.770420975,-0.989719454,4,0.875
"Mathis, Jeff",Jeff Mathis,2019,244,0.158,0.209,0.224,0.433,0.066,0.19,162.21,69.89,63.52,49.96,58.83,67.86,17.91,70.01,176.69,117.91,120.38,21.59,0.027,0,0,0.005,0.965,0.002,0,-4.150164558,-6.140416539,0.324718404,5,0.965
