"","name","player_id","year","pa","avg","obp","slg","ops","woba","home_run","adj_k_pct","adj_bb_pct","adj_xba","adj_xslg","adj_xwoba","adj_xwobacon","adj_barrel_pct","adj_hh_pct","adj_zswm_pct","adj_ozsw_pct","adj_ozswm_pct","adj_hr_rate","probC1","probC2","probC3","probC4","probC5","probC6","Cluster","PlayerYear"
"2442","Alcántara, Sergio",642727,2021,255,0.205,0.303,0.327,0.63,0.279,5,129.9,132.88,83.85,71.06,84.92,85.83,40.29,84.54,130.08,68.37,125.35,57.48,0,0.992,0.005,0,0.001,0.001,2,"Sergio Alcántara 2021"
"2443","Alcántara, Sergio",642727,2022,224,0.22,0.261,0.356,0.617,0.269,6,114.99,66.01,86.39,74.03,78.36,81.55,24.2,83.57,90.38,90.12,100.5,91.71,0.001,0.814,0.184,0,0,0.001,2,"Sergio Alcántara 2022"
"2444","Brown, Seth",664913,2021,307,0.214,0.274,0.48,0.754,0.315,20,129.9,84.46,90.71,110.16,98.19,110.51,164.71,101.14,116.06,95.13,134.4,190.96,0.369,0.017,0,0.001,0.605,0.007,5,"Seth Brown 2021"
"2445","Brown, Seth",664913,2022,555,0.23,0.305,0.444,0.749,0.323,25,119.07,112.45,103.75,115.49,108.55,116.97,165.61,106.45,103.62,99.34,129.49,154.22,0.734,0.002,0,0.033,0.182,0.049,1,"Seth Brown 2022"
"2446","Brown, Seth",664913,2023,378,0.222,0.286,0.405,0.691,0.298,14,118.96,91.44,94.9,108.02,99.79,107.45,144.35,116.32,100.46,108.43,139.13,113.99,0.702,0.047,0,0,0.218,0.031,1,"Seth Brown 2023"
"2447","Smith, Seth",452234,2015,452,0.248,0.33,0.443,0.773,0.331,12,111.66,132.4,100.22,108.99,106.67,108.21,139.42,123.49,118.31,81.46,123.04,95.49,0.555,0.014,0,0.008,0.265,0.158,1,"Seth Smith 2015"
"2448","Smith, Seth",452234,2016,438,0.249,0.342,0.415,0.757,0.331,16,99.68,131.2,105.49,114.31,112.06,109.42,135.57,114.47,86.18,75.77,112.77,114.9,0.456,0.002,0,0.017,0.024,0.5,6,"Seth Smith 2016"
"2449","Smith, Seth",452234,2017,373,0.258,0.34,0.433,0.773,0.332,13,101.57,110.69,105.94,106.95,107.45,107.33,106.31,118.59,79.21,91.01,94.64,101.12,0.459,0.007,0.006,0.001,0.004,0.524,6,"Seth Smith 2017"
"2450","Peterson, Shane",451089,2015,225,0.259,0.324,0.353,0.677,0.299,2,124.4,113.3,103.42,91.78,97.81,103.54,47.65,116.5,125.63,89.3,106.45,31.97,0.252,0.508,0.037,0,0.023,0.18,2,"Shane Peterson 2015"
"2451","Victorino, Shane",425664,2015,204,0.23,0.308,0.292,0.6,0.271,1,80.05,99.3,92.24,71.08,87.05,76.08,0,52.13,67.8,96.46,89.87,17.63,0,0.071,0.928,0,0,0.001,3,"Shane Victorino 2015"
"2452","O'Malley, Shawn",502523,2016,232,0.229,0.299,0.319,0.618,0.276,2,124.72,93.03,77.83,62.07,76.26,75.82,10.66,42.57,103.29,82.02,79.28,27.12,0,0.779,0.221,0,0,0,2,"Shawn O'Malley 2016"
"2453","Langeliers, Shea",669127,2023,490,0.205,0.268,0.413,0.681,0.29,22,130.1,79.87,84.49,101.31,92.05,101.92,157.36,111.31,137.78,108.78,114.68,138.18,0.347,0.214,0.001,0,0.432,0.006,5,"Shea Langeliers 2023"
"2454","Neuse, Sheldon",641914,2022,293,0.214,0.273,0.288,0.561,0.253,4,123.59,83.12,87.63,74.03,81.57,85.67,39.49,98.22,92.11,107.19,123.31,46.74,0.002,0.945,0.053,0,0,0.001,2,"Sheldon Neuse 2022"
"2455","Choo, Shin-Soo",425783,2015,653,0.276,0.375,0.463,0.838,0.365,22,114.72,147.68,101.42,110.73,113,113.43,148.25,128.44,142.91,78.06,106.45,121.18,0.425,0.002,0,0.105,0.369,0.099,1,"Shin-Soo Choo 2015"
"2456","Choo, Shin-Soo",425783,2016,210,0.242,0.357,0.399,0.756,0.334,7,107.54,141.93,108.65,118.86,118.59,118.3,115.77,132.51,101.38,79.24,99.69,104.85,0.439,0,0,0.165,0.023,0.373,1,"Shin-Soo Choo 2016"
"2457","Choo, Shin-Soo",425783,2017,636,0.261,0.357,0.423,0.78,0.339,22,101.09,138.07,105.94,111.64,112.99,111.04,128.77,109.6,99.9,74.63,105.86,100.36,0.404,0.003,0.001,0.011,0.024,0.557,6,"Shin-Soo Choo 2017"
"2458","Choo, Shin-Soo",425783,2018,665,0.264,0.377,0.434,0.811,0.355,21,109.64,158.84,101.19,113.16,113.21,112.69,156.23,110.71,124.67,79.04,101.05,100.71,0.481,0.004,0,0.047,0.159,0.309,1,"Shin-Soo Choo 2018"
"2459","Choo, Shin-Soo",425783,2019,660,0.265,0.371,0.455,0.826,0.353,24,113.59,135.21,104.4,108.63,110.93,112.83,112.59,129.95,120.13,70.54,133.14,95.79,0.466,0.006,0,0.029,0.331,0.169,1,"Shin-Soo Choo 2019"
